playerID,awardID,yearID:int,lgID,tie,notes 
"mathech01","Baseball Magazine All-Star",1908,"ML","0","P2"
"youngcy01","Baseball Magazine All-Star",1908,"ML","0","P3"
"brownmo01","Baseball Magazine All-Star",1908,"ML","0","P4"
"ruckena01","Baseball Magazine All-Star",1908,"ML","0","P5"
"cobbty01","Baseball Magazine All-Star",1908,"ML","0","RF"
"wagneho01","Baseball Magazine All-Star",1908,"ML","0","SS"
"tennefr02","Baseball Magazine All-Star",1908,"NL","0","1B"
"eversjo01","Baseball Magazine All-Star",1908,"NL","0","2B"
"devliar01","Baseball Magazine All-Star",1908,"NL","0","3B"
"bresnro01","Baseball Magazine All-Star",1908,"NL","0","C"
"klingjo01","Baseball Magazine All-Star",1908,"NL","0","C"
"donlimi01","Baseball Magazine All-Star",1908,"NL","0","CF"
"clarkfr01","Baseball Magazine All-Star",1908,"NL","0","LF"
"brownmo01","Baseball Magazine All-Star",1908,"NL","0","P1"
"mathech01","Baseball Magazine All-Star",1908,"NL","0","P2"
"ruckena01","Baseball Magazine All-Star",1908,"NL","0","P3"
"willivi01","Baseball Magazine All-Star",1908,"NL","0","P4"
"reulbed01","Baseball Magazine All-Star",1908,"NL","0","P5"
"schulfr01","Baseball Magazine All-Star",1908,"NL","0","RF"
"wagneho01","Baseball Magazine All-Star",1908,"NL","0","SS"
"mathech01","Pitching Triple Crown",1908,"NL","0","0"
"chaseha01","Baseball Magazine All-Star",1909,"AL","0","1B"
"collied01","Baseball Magazine All-Star",1909,"AL","0","2B"
"lordha01","Baseball Magazine All-Star",1909,"AL","0","3B"
"carribi02","Baseball Magazine All-Star",1909,"AL","0","C1"
"sullibi03","Baseball Magazine All-Star",1909,"AL","0","C2"
"streega01","Baseball Magazine All-Star",1909,"AL","0","C3"
"speaktr01","Baseball Magazine All-Star",1909,"AL","0","CF"
"crawfsa01","Baseball Magazine All-Star",1909,"AL","0","LF"
"walshed01","Baseball Magazine All-Star",1909,"AL","0","P1"
"planked01","Baseball Magazine All-Star",1909,"AL","0","P2"
"johnswa01","Baseball Magazine All-Star",1909,"AL","0","P3"
"mullige01","Baseball Magazine All-Star",1909,"AL","0","P4"
"woodjo02","Baseball Magazine All-Star",1909,"AL","0","P5"
"cobbty01","Baseball Magazine All-Star",1909,"AL","0","RF"
"bushdo01","Baseball Magazine All-Star",1909,"AL","0","SS"
"chaseha01","Baseball Magazine All-Star",1909,"ML","0","1B"
"collied01","Baseball Magazine All-Star",1909,"ML","0","2B"
"lordha01","Baseball Magazine All-Star",1909,"ML","0","3B"
"klingjo01","Baseball Magazine All-Star",1909,"ML","0","C1"
"carribi02","Baseball Magazine All-Star",1909,"ML","0","C2"
"gibsoge01","Baseball Magazine All-Star",1909,"ML","0","C3"
"speaktr01","Baseball Magazine All-Star",1909,"ML","0","CF"
"clarkfr01","Baseball Magazine All-Star",1909,"ML","0","LF"
"mathech01","Baseball Magazine All-Star",1909,"ML","0","P1"
"walshed01","Baseball Magazine All-Star",1909,"ML","0","P2"
"brownmo01","Baseball Magazine All-Star",1909,"ML","0","P3"
"adamsba01","Baseball Magazine All-Star",1909,"ML","0","P4"
"planked01","Baseball Magazine All-Star",1909,"ML","0","P5"
"johnswa01","Baseball Magazine All-Star",1909,"ML","0","P6"
"cobbty01","Baseball Magazine All-Star",1909,"ML","0","RF"
"wagneho01","Baseball Magazine All-Star",1909,"ML","0","SS"
"chancfr01","Baseball Magazine All-Star",1909,"NL","0","1B"
"eversjo01","Baseball Magazine All-Star",1909,"NL","0","2B"
"devliar01","Baseball Magazine All-Star",1909,"NL","0","3B"
"klingjo01","Baseball Magazine All-Star",1909,"NL","0","C1"
"gibsoge01","Baseball Magazine All-Star",1909,"NL","0","C2"
"bresnro01","Baseball Magazine All-Star",1909,"NL","0","C3"
"leachto01","Baseball Magazine All-Star",1909,"NL","0","CF"
"clarkfr01","Baseball Magazine All-Star",1909,"NL","0","LF"
"mathech01","Baseball Magazine All-Star",1909,"NL","0","P1"
"brownmo01","Baseball Magazine All-Star",1909,"NL","0","P2"
"reulbed01","Baseball Magazine All-Star",1909,"NL","0","P3"
"camniho01","Baseball Magazine All-Star",1909,"NL","0","P4"
"adamsba01","Baseball Magazine All-Star",1909,"NL","0","P5"
"hofmaso01","Baseball Magazine All-Star",1909,"NL","0","RF"
"wagneho01","Baseball Magazine All-Star",1909,"NL","0","SS"
"cobbty01","Triple Crown",1909,"AL","0","0"
"chaseha01","Baseball Magazine All-Star",1910,"AL","0","1B"
"lajoina01","Baseball Magazine All-Star",1910,"AL","0","2B"
"lordha01","Baseball Magazine All-Star",1910,"AL","0","3B"
"thomair01","Baseball Magazine All-Star",1910,"AL","0","C1"
"sweened01","Baseball Magazine All-Star",1910,"AL","0","C2"
"speaktr01","Baseball Magazine All-Star",1910,"AL","0","CF"
"stonege01","Baseball Magazine All-Star",1910,"AL","0","LF"
"walshed01","Baseball Magazine All-Star",1910,"AL","0","P1"
"coombja01","Baseball Magazine All-Star",1910,"AL","0","P2"
"bendech01","Baseball Magazine All-Star",1910,"AL","0","P3"
"cobbty01","Baseball Magazine All-Star",1910,"AL","0","RF"
"wallabo01","Baseball Magazine All-Star",1910,"AL","0","SS"
"chaseha01","Baseball Magazine All-Star",1910,"ML","0","1B"
"lajoina01","Baseball Magazine All-Star",1910,"ML","0","2B"
"devliar01","Baseball Magazine All-Star",1910,"ML","0","3B"
"gibsoge01","Baseball Magazine All-Star",1910,"ML","0","C1"
"archeji01","Baseball Magazine All-Star",1910,"ML","0","C2"
"speaktr01","Baseball Magazine All-Star",1910,"ML","0","CF"
"mageesh01","Baseball Magazine All-Star",1910,"ML","0","LF"
"walshed01","Baseball Magazine All-Star",1910,"ML","0","P1"
"mathech01","Baseball Magazine All-Star",1910,"ML","0","P2"
"coombja01","Baseball Magazine All-Star",1910,"ML","0","P3"
"bendech01","Baseball Magazine All-Star",1910,"ML","0","P4"
"johnswa01","Baseball Magazine All-Star",1910,"ML","0","P5"
"cobbty01","Baseball Magazine All-Star",1910,"ML","0","RF"
"wagneho01","Baseball Magazine All-Star",1910,"ML","0","SS"
"chancfr01","Baseball Magazine All-Star",1910,"NL","0","1B"
"eversjo01","Baseball Magazine All-Star",1910,"NL","0","2B"
"devliar01","Baseball Magazine All-Star",1910,"NL","0","3B"
"gibsoge01","Baseball Magazine All-Star",1910,"NL","0","C1"
"archeji01","Baseball Magazine All-Star",1910,"NL","0","C2"
"leachto01","Baseball Magazine All-Star",1910,"NL","0","CF"
"mageesh01","Baseball Magazine All-Star",1910,"NL","0","LF"
"mathech01","Baseball Magazine All-Star",1910,"NL","0","P1"
"ruckena01","Baseball Magazine All-Star",1910,"NL","0","P2"
"coleki01","Baseball Magazine All-Star",1910,"NL","0","P3"
"schulfr01","Baseball Magazine All-Star",1910,"NL","0","RF"
"wagneho01","Baseball Magazine All-Star",1910,"NL","0","SS"
"chaseha01","Baseball Magazine All-Star",1911,"AL","0","1B"
"collied01","Baseball Magazine All-Star",1911,"AL","0","2B"
"bakerfr01","Baseball Magazine All-Star",1911,"AL","0","3B"
"thomair01","Baseball Magazine All-Star",1911,"AL","0","C1"
"carribi02","Baseball Magazine All-Star",1911,"AL","0","C2"
"stanaos01","Baseball Magazine All-Star",1911,"AL","0","C3"
"cobbty01","Baseball Magazine All-Star",1911,"AL","0","CF"
"crawfsa01","Baseball Magazine All-Star",1911,"AL","0","LF"
"johnswa01","Baseball Magazine All-Star",1911,"AL","0","P1"
"walshed01","Baseball Magazine All-Star",1911,"AL","0","P2"
"greggve01","Baseball Magazine All-Star",1911,"AL","0","P3"
"bendech01","Baseball Magazine All-Star",1911,"AL","0","P4"
"coombja01","Baseball Magazine All-Star",1911,"AL","0","P5"
"jacksjo01","Baseball Magazine All-Star",1911,"AL","0","RF"
"bushdo01","Baseball Magazine All-Star",1911,"AL","0","SS"
"chaseha01","Baseball Magazine All-Star",1911,"ML","0","1B"
"collied01","Baseball Magazine All-Star",1911,"ML","0","2B"
"bakerfr01","Baseball Magazine All-Star",1911,"ML","0","3B"
"bresnro01","Baseball Magazine All-Star",1911,"ML","0","C1"
"dooinre01","Baseball Magazine All-Star",1911,"ML","0","C2"
"meyerch01","Baseball Magazine All-Star",1911,"ML","0","C3"
"thomair01","Baseball Magazine All-Star",1911,"ML","0","C4"
"cobbty01","Baseball Magazine All-Star",1911,"ML","0","CF"
"clarkfr01","Baseball Magazine All-Star",1911,"ML","0","LF"
"johnswa01","Baseball Magazine All-Star",1911,"ML","0","P2"
"mathech01","Baseball Magazine All-Star",1911,"ML","0","P2"
"alexape01","Baseball Magazine All-Star",1911,"ML","0","P3"
"greggve01","Baseball Magazine All-Star",1911,"ML","0","P4"
"ruckena01","Baseball Magazine All-Star",1911,"ML","0","P5"
"walshed01","Baseball Magazine All-Star",1911,"ML","0","P6"
"jacksjo01","Baseball Magazine All-Star",1911,"ML","0","RF"
"wagneho01","Baseball Magazine All-Star",1911,"ML","0","SS"
"daubeja01","Baseball Magazine All-Star",1911,"NL","0","1B"
"doylela01","Baseball Magazine All-Star",1911,"NL","0","2B"
"loberha01","Baseball Magazine All-Star",1911,"NL","0","3B"
"bresnro01","Baseball Magazine All-Star",1911,"NL","0","C1"
"dooinre01","Baseball Magazine All-Star",1911,"NL","0","C2"
"meyerch01","Baseball Magazine All-Star",1911,"NL","0","C3"
"archeji01","Baseball Magazine All-Star",1911,"NL","0","C4"
"donlimi01","Baseball Magazine All-Star",1911,"NL","0","CF"
"clarkfr01","Baseball Magazine All-Star",1911,"NL","0","LF"
"mathech01","Baseball Magazine All-Star",1911,"NL","0","P1"
"marquru01","Baseball Magazine All-Star",1911,"NL","0","P2"
"alexape01","Baseball Magazine All-Star",1911,"NL","0","P3"
"ruckena01","Baseball Magazine All-Star",1911,"NL","0","P4"
"schulfr01","Baseball Magazine All-Star",1911,"NL","0","RF"
"wagneho01","Baseball Magazine All-Star",1911,"NL","0","SS"
"cobbty01","Most Valuable Player",1911,"AL","0","0"
"schulfr01","Most Valuable Player",1911,"NL","0","0"
"mcinnst01","Baseball Magazine All-Star",1912,"AL","0","1B"
"collied01","Baseball Magazine All-Star",1912,"AL","0","2B"
"gardnla01","Baseball Magazine All-Star",1912,"AL","0","3B"
"stanaos01","Baseball Magazine All-Star",1912,"AL","0","C1"
"ainsmed01","Baseball Magazine All-Star",1912,"AL","0","C2"
"cobbty01","Baseball Magazine All-Star",1912,"AL","0","OF"
"jacksjo01","Baseball Magazine All-Star",1912,"AL","0","OF"
"speaktr01","Baseball Magazine All-Star",1912,"AL","0","OF"
"johnswa01","Baseball Magazine All-Star",1912,"AL","0","P1"
"woodjo02","Baseball Magazine All-Star",1912,"AL","0","P2"
"planked01","Baseball Magazine All-Star",1912,"AL","0","P3"
"wagnehe01","Baseball Magazine All-Star",1912,"AL","0","SS"
"daubeja01","Baseball Magazine All-Star",1912,"ML","0","1B"
"eversjo01","Baseball Magazine All-Star",1912,"ML","0","2B"
"zimmehe01","Baseball Magazine All-Star",1912,"ML","0","3B"
"archeji01","Baseball Magazine All-Star",1912,"ML","0","C1"
"meyerch01","Baseball Magazine All-Star",1912,"ML","0","C2"
"cobbty01","Baseball Magazine All-Star",1912,"ML","0","OF"
"jacksjo01","Baseball Magazine All-Star",1912,"ML","0","OF"
"speaktr01","Baseball Magazine All-Star",1912,"ML","0","OF"
"johnswa01","Baseball Magazine All-Star",1912,"ML","0","P1"
"woodjo02","Baseball Magazine All-Star",1912,"ML","0","P1"
"ruckena01","Baseball Magazine All-Star",1912,"ML","0","P2"
"wagneho01","Baseball Magazine All-Star",1912,"ML","0","SS"
"daubeja01","Baseball Magazine All-Star",1912,"NL","0","1B"
"eversjo01","Baseball Magazine All-Star",1912,"NL","0","2B"
"zimmehe01","Baseball Magazine All-Star",1912,"NL","0","3B"
"archeji01","Baseball Magazine All-Star",1912,"NL","0","C1"
"meyerch01","Baseball Magazine All-Star",1912,"NL","0","C2"
"mageesh01","Baseball Magazine All-Star",1912,"NL","0","OF"
"paskedo01","Baseball Magazine All-Star",1912,"NL","0","OF"
"wilsoch01","Baseball Magazine All-Star",1912,"NL","0","OF"
"tesreje01","Baseball Magazine All-Star",1912,"NL","0","P1"
"mathech01","Baseball Magazine All-Star",1912,"NL","0","P2"
"ruckena01","Baseball Magazine All-Star",1912,"NL","0","P3"
"wagneho01","Baseball Magazine All-Star",1912,"NL","0","SS"
"speaktr01","Most Valuable Player",1912,"AL","0","0"
"doylela01","Most Valuable Player",1912,"NL","0","0"
"mcinnst01","Baseball Magazine All-Star",1913,"AL","0","1B"
"collied01","Baseball Magazine All-Star",1913,"AL","0","2B"
"bakerfr01","Baseball Magazine All-Star",1913,"AL","0","3B"
"schanwa01","Baseball Magazine All-Star",1913,"AL","0","C"
"cobbty01","Baseball Magazine All-Star",1913,"AL","0","OF"
"jacksjo01","Baseball Magazine All-Star",1913,"AL","0","OF"
"speaktr01","Baseball Magazine All-Star",1913,"AL","0","OF"
"johnswa01","Baseball Magazine All-Star",1913,"AL","0","P1"
"falkecy01","Baseball Magazine All-Star",1913,"AL","0","P2"
"barryja01","Baseball Magazine All-Star",1913,"AL","0","SS"
"daubeja01","Baseball Magazine All-Star",1913,"ML","0","1B"
"collied01","Baseball Magazine All-Star",1913,"ML","0","2B"
"bakerfr01","Baseball Magazine All-Star",1913,"ML","0","3B"
"archeji01","Baseball Magazine All-Star",1913,"ML","0","C"
"cobbty01","Baseball Magazine All-Star",1913,"ML","0","OF"
"jacksjo01","Baseball Magazine All-Star",1913,"ML","0","OF"
"speaktr01","Baseball Magazine All-Star",1913,"ML","0","OF"
"johnswa01","Baseball Magazine All-Star",1913,"ML","0","P1"
"mathech01","Baseball Magazine All-Star",1913,"ML","0","P2"
"wagneho01","Baseball Magazine All-Star",1913,"ML","0","SS"
"daubeja01","Baseball Magazine All-Star",1913,"NL","0","1B"
"vioxji01","Baseball Magazine All-Star",1913,"NL","0","2B"
"zimmehe01","Baseball Magazine All-Star",1913,"NL","0","3B"
"archeji01","Baseball Magazine All-Star",1913,"NL","0","C"
"cravaga01","Baseball Magazine All-Star",1913,"NL","0","OF"
"leachto01","Baseball Magazine All-Star",1913,"NL","0","OF"
"wheatza01","Baseball Magazine All-Star",1913,"NL","0","OF"
"mathech01","Baseball Magazine All-Star",1913,"NL","0","P1"
"alexape01","Baseball Magazine All-Star",1913,"NL","0","P2"
"wagneho01","Baseball Magazine All-Star",1913,"NL","0","SS"
"johnswa01","Most Valuable Player",1913,"AL","0","0"
"daubeja01","Most Valuable Player",1913,"NL","0","0"
"johnswa01","Pitching Triple Crown",1913,"AL","0","0"
"mcinnst01","Baseball Magazine All-Star",1914,"AL","0","1B"
"collied01","Baseball Magazine All-Star",1914,"AL","0","2B"
"bakerfr01","Baseball Magazine All-Star",1914,"AL","0","3B"
"schanwa01","Baseball Magazine All-Star",1914,"AL","0","C1"
"schalra01","Baseball Magazine All-Star",1914,"AL","0","C2"
"cobbty01","Baseball Magazine All-Star",1914,"AL","0","OF"
"jacksjo01","Baseball Magazine All-Star",1914,"AL","0","OF"
"speaktr01","Baseball Magazine All-Star",1914,"AL","0","OF"
"johnswa01","Baseball Magazine All-Star",1914,"AL","0","P1"
"leonadu01","Baseball Magazine All-Star",1914,"AL","0","P2"
"planked01","Baseball Magazine All-Star",1914,"AL","0","P3"
"barryja01","Baseball Magazine All-Star",1914,"AL","0","SS"
"daubeja01","Baseball Magazine All-Star",1914,"ML","0","1B"
"collied01","Baseball Magazine All-Star",1914,"ML","0","2B"
"bakerfr01","Baseball Magazine All-Star",1914,"ML","0","3B"
"archeji01","Baseball Magazine All-Star",1914,"ML","0","C1"
"schanwa01","Baseball Magazine All-Star",1914,"ML","0","C2"
"cobbty01","Baseball Magazine All-Star",1914,"ML","0","OF"
"jacksjo01","Baseball Magazine All-Star",1914,"ML","0","OF"
"speaktr01","Baseball Magazine All-Star",1914,"ML","0","OF"
"alexape01","Baseball Magazine All-Star",1914,"ML","0","P1"
"mathech01","Baseball Magazine All-Star",1914,"ML","0","P2"
"johnswa01","Baseball Magazine All-Star",1914,"ML","0","P3"
"maranra01","Baseball Magazine All-Star",1914,"ML","0","SS"
"daubeja01","Baseball Magazine All-Star",1914,"NL","0","1B"
"eversjo01","Baseball Magazine All-Star",1914,"NL","0","2B"
"loberha01","Baseball Magazine All-Star",1914,"NL","0","3B"
"archeji01","Baseball Magazine All-Star",1914,"NL","0","C1"
"wingoiv01","Baseball Magazine All-Star",1914,"NL","0","C2"
"burnsge01","Baseball Magazine All-Star",1914,"NL","0","OF"
"mageesh01","Baseball Magazine All-Star",1914,"NL","0","OF"
"wheatza01","Baseball Magazine All-Star",1914,"NL","0","OF"
"alexape01","Baseball Magazine All-Star",1914,"NL","0","P1"
"mathech01","Baseball Magazine All-Star",1914,"NL","0","P2"
"jamesbi02","Baseball Magazine All-Star",1914,"NL","0","P3"
"maranra01","Baseball Magazine All-Star",1914,"NL","0","SS"
"collied01","Most Valuable Player",1914,"AL","0","0"
"eversjo01","Most Valuable Player",1914,"NL","0","0"
"mcinnst01","Baseball Magazine All-Star",1915,"AL","0","1B"
"collied01","Baseball Magazine All-Star",1915,"AL","0","2B"
"maisefr01","Baseball Magazine All-Star",1915,"AL","0","3B"
"schalra01","Baseball Magazine All-Star",1915,"AL","0","C"
"speaktr01","Baseball Magazine All-Star",1915,"AL","0","CF"
"cobbty01","Baseball Magazine All-Star",1915,"AL","0","LF"
"johnswa01","Baseball Magazine All-Star",1915,"AL","0","P1"
"scottji01","Baseball Magazine All-Star",1915,"AL","0","P2"
"crawfsa01","Baseball Magazine All-Star",1915,"AL","0","RF"
"bushdo01","Baseball Magazine All-Star",1915,"AL","0","SS"
"mcinnst01","Baseball Magazine All-Star",1915,"ML","0","1B"
"collied01","Baseball Magazine All-Star",1915,"ML","0","2B"
"grohhe01","Baseball Magazine All-Star",1915,"ML","0","3B"
"snydefr01","Baseball Magazine All-Star",1915,"ML","0","C"
"speaktr01","Baseball Magazine All-Star",1915,"ML","0","CF"
"cobbty01","Baseball Magazine All-Star",1915,"ML","0","LF"
"alexape01","Baseball Magazine All-Star",1915,"ML","0","P1"
"johnswa01","Baseball Magazine All-Star",1915,"ML","0","P2"
"crawfsa01","Baseball Magazine All-Star",1915,"ML","0","RF"
"bancrda01","Baseball Magazine All-Star",1915,"ML","0","SS"
"saiervi01","Baseball Magazine All-Star",1915,"NL","0","1B"
"doylela01","Baseball Magazine All-Star",1915,"NL","0","2B"
"grohhe01","Baseball Magazine All-Star",1915,"NL","0","3B"
"snydefr01","Baseball Magazine All-Star",1915,"NL","0","C"
"willicy01","Baseball Magazine All-Star",1915,"NL","0","CF"
"wheatza01","Baseball Magazine All-Star",1915,"NL","0","LF"
"alexape01","Baseball Magazine All-Star",1915,"NL","0","P1"
"mamaual01","Baseball Magazine All-Star",1915,"NL","0","P2"
"cravaga01","Baseball Magazine All-Star",1915,"NL","0","RF"
"bancrda01","Baseball Magazine All-Star",1915,"NL","0","SS"
"alexape01","Pitching Triple Crown",1915,"NL","0","0"
"sislege01","Baseball Magazine All-Star",1916,"AL","0","1B"
"collied01","Baseball Magazine All-Star",1916,"AL","0","2B"
"gardnla01","Baseball Magazine All-Star",1916,"AL","0","3B"
"schalra01","Baseball Magazine All-Star",1916,"AL","0","C"
"cobbty01","Baseball Magazine All-Star",1916,"AL","0","OF"
"jacksjo01","Baseball Magazine All-Star",1916,"AL","0","OF"
"speaktr01","Baseball Magazine All-Star",1916,"AL","0","OF"
"johnswa01","Baseball Magazine All-Star",1916,"AL","0","P1"
"ruthba01","Baseball Magazine All-Star",1916,"AL","0","P2"
"bushdo01","Baseball Magazine All-Star",1916,"AL","0","SS"
"daubeja01","Baseball Magazine All-Star",1916,"ML","0","1B"
"collied01","Baseball Magazine All-Star",1916,"ML","0","2B"
"gardnla01","Baseball Magazine All-Star",1916,"ML","0","3B"
"schalra01","Baseball Magazine All-Star",1916,"ML","0","C"
"cobbty01","Baseball Magazine All-Star",1916,"ML","0","OF"
"jacksjo01","Baseball Magazine All-Star",1916,"ML","0","OF"
"speaktr01","Baseball Magazine All-Star",1916,"ML","0","OF"
"alexape01","Baseball Magazine All-Star",1916,"ML","0","P1"
"johnswa01","Baseball Magazine All-Star",1916,"ML","0","P2"
"maranra01","Baseball Magazine All-Star",1916,"ML","0","SS"
"daubeja01","Baseball Magazine All-Star",1916,"NL","0","1B"
"herzobu01","Baseball Magazine All-Star",1916,"NL","0","2B"
"hornsro01","Baseball Magazine All-Star",1916,"NL","0","3B"
"gowdyha01","Baseball Magazine All-Star",1916,"NL","0","C"
"roberda01","Baseball Magazine All-Star",1916,"NL","0","OF"
"wheatza01","Baseball Magazine All-Star",1916,"NL","0","OF"
"willicy01","Baseball Magazine All-Star",1916,"NL","0","OF"
"alexape01","Baseball Magazine All-Star",1916,"NL","0","P1"
"mamaual01","Baseball Magazine All-Star",1916,"NL","0","P2"
"maranra01","Baseball Magazine All-Star",1916,"NL","0","SS"
"alexape01","Pitching Triple Crown",1916,"NL","0","0"
"sislege01","Baseball Magazine All-Star",1917,"AL","0","1B"
"collied01","Baseball Magazine All-Star",1917,"AL","0","2B"
"weavebu01","Baseball Magazine All-Star",1917,"AL","0","3B"
"schalra01","Baseball Magazine All-Star",1917,"AL","0","C"
"cobbty01","Baseball Magazine All-Star",1917,"AL","0","OF"
"felscha01","Baseball Magazine All-Star",1917,"AL","0","OF"
"speaktr01","Baseball Magazine All-Star",1917,"AL","0","OF"
"johnswa01","Baseball Magazine All-Star",1917,"AL","0","P1"
"cicoted01","Baseball Magazine All-Star",1917,"AL","0","P2"
"chapmra01","Baseball Magazine All-Star",1917,"AL","0","SS"
"sislege01","Baseball Magazine All-Star",1917,"ML","0","1B"
"collied01","Baseball Magazine All-Star",1917,"ML","0","2B"
"zimmehe01","Baseball Magazine All-Star",1917,"ML","0","3B"
"killebi01","Baseball Magazine All-Star",1917,"ML","0","C"
"cobbty01","Baseball Magazine All-Star",1917,"ML","0","OF"
"roushed01","Baseball Magazine All-Star",1917,"ML","0","OF"
"speaktr01","Baseball Magazine All-Star",1917,"ML","0","OF"
"alexape01","Baseball Magazine All-Star",1917,"ML","0","P1"
"johnswa01","Baseball Magazine All-Star",1917,"ML","0","P2"
"chapmra01","Baseball Magazine All-Star",1917,"ML","0","SS"
"chaseha01","Baseball Magazine All-Star",1917,"NL","0","1B"
"herzobu01","Baseball Magazine All-Star",1917,"NL","0","2B"
"zimmehe01","Baseball Magazine All-Star",1917,"NL","0","3B"
"killebi01","Baseball Magazine All-Star",1917,"NL","0","C"
"burnsge01","Baseball Magazine All-Star",1917,"NL","0","OF"
"careyma01","Baseball Magazine All-Star",1917,"NL","0","OF"
"roushed01","Baseball Magazine All-Star",1917,"NL","0","OF"
"alexape01","Baseball Magazine All-Star",1917,"NL","0","P1"
"coopewi01","Baseball Magazine All-Star",1917,"NL","0","P2"
"maranra01","Baseball Magazine All-Star",1917,"NL","0","SS"
"sislege01","Baseball Magazine All-Star",1918,"AL","0","1B"
"collied01","Baseball Magazine All-Star",1918,"AL","0","2B"
"bakerfr01","Baseball Magazine All-Star",1918,"AL","0","3B"
"oneilst01","Baseball Magazine All-Star",1918,"AL","0","C"
"cobbty01","Baseball Magazine All-Star",1918,"AL","0","OF"
"willite01","TSN All-Star",1958,"ML","0","OF"
"hoopeha01","Baseball Magazine All-Star",1918,"AL","0","OF"
"speaktr01","Baseball Magazine All-Star",1918,"AL","0","OF"
"ruthba01","Baseball Magazine All-Star",1918,"AL","0","P1"
"johnswa01","Baseball Magazine All-Star",1918,"AL","0","P2"
"chapmra01","Baseball Magazine All-Star",1918,"AL","0","SS"
"sislege01","Baseball Magazine All-Star",1918,"ML","0","1B"
"collied01","Baseball Magazine All-Star",1918,"ML","0","2B"
"grohhe01","Baseball Magazine All-Star",1918,"ML","0","3B"
"killebi01","Baseball Magazine All-Star",1918,"ML","0","C"
"cobbty01","Baseball Magazine All-Star",1918,"ML","0","OF"
"roushed01","Baseball Magazine All-Star",1918,"ML","0","OF"
"speaktr01","Baseball Magazine All-Star",1918,"ML","0","OF"
"ruthba01","Baseball Magazine All-Star",1918,"ML","0","P1"
"johnswa01","Baseball Magazine All-Star",1918,"ML","0","P2"
"vaughhi01","Baseball Magazine All-Star",1918,"ML","0","P3"
"holloch01","Baseball Magazine All-Star",1918,"ML","0","SS"
"daubeja01","Baseball Magazine All-Star",1918,"NL","0","1B"
"cutshge01","Baseball Magazine All-Star",1918,"NL","0","2B"
"grohhe01","Baseball Magazine All-Star",1918,"NL","0","3B"
"killebi01","Baseball Magazine All-Star",1918,"NL","0","C"
"burnsge01","Baseball Magazine All-Star",1918,"NL","0","OF"
"roushed01","Baseball Magazine All-Star",1918,"NL","0","OF"
"wheatza01","Baseball Magazine All-Star",1918,"NL","0","OF"
"vaughhi01","Baseball Magazine All-Star",1918,"NL","0","P1"
"grimebu01","Baseball Magazine All-Star",1918,"NL","0","P2"
"holloch01","Baseball Magazine All-Star",1918,"NL","0","SS"
"johnswa01","Pitching Triple Crown",1918,"AL","0","0"
"vaughhi01","Pitching Triple Crown",1918,"NL","0","0"
"sislege01","Baseball Magazine All-Star",1919,"AL","0","1B"
"collied01","Baseball Magazine All-Star",1919,"AL","0","2B"
"weavebu01","Baseball Magazine All-Star",1919,"AL","0","3B"
"oneilst01","Baseball Magazine All-Star",1919,"AL","0","C"
"cobbty01","Baseball Magazine All-Star",1919,"AL","0","OF"
